_excel_row_number,id,clinic_id,feature_code,is_enabled,config,created_at,updated_at
2,8820039d-f0f1-4f6a-9eb7-1df912ea980d,d5ac6269-d8cf-4821-ac8b-a6341e68987b,diagnostic_billing,t,{},2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00
3,8ac7f856-6110-4da1-9d33-c5aaa8991204,d5ac6269-d8cf-4821-ac8b-a6341e68987b,external_orders,t,{},2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00
4,5bf0da56-3e90-40a8-9323-b5607b856f8b,d5ac6269-d8cf-4821-ac8b-a6341e68987b,imaging_workflow,t,{},2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00
5,f53d7e98-d3b7-456c-b935-155b07857d92,d5ac6269-d8cf-4821-ac8b-a6341e68987b,lab_workflow,t,{},2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00
6,ab5853b4-5ccf-4cb6-89e0-a953de2f0978,d5ac6269-d8cf-4821-ac8b-a6341e68987b,lis_integration,f,{},2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00
7,e28aa686-cd84-47da-86af-17e0df149a6b,d5ac6269-d8cf-4821-ac8b-a6341e68987b,order_intake,t,{},2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00
8,91fba0cb-d36f-4872-9308-ada378b05f20,d5ac6269-d8cf-4821-ac8b-a6341e68987b,pacs_integration,f,{},2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00
9,95dbc0c8-3bff-4227-aa7e-0c3956828b37,d5ac6269-d8cf-4821-ac8b-a6341e68987b,patient_registration,t,{},2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00
10,1d5bb9f2-cc7c-4f87-88d3-2d073c8fec19,d5ac6269-d8cf-4821-ac8b-a6341e68987b,result_delivery,t,{},2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00
11,8f9157c1-e697-473a-9601-da5149c00a2b,d5ac6269-d8cf-4821-ac8b-a6341e68987b,result_upload,t,{},2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00
12,fc367a46-8f1d-4684-9789-13f80d1bb1c2,99efa33e-8a21-4b1f-a5ac-92f920e69179,patient_registration,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
13,783abfb8-d998-406d-80a6-c98dfc81a65b,99efa33e-8a21-4b1f-a5ac-92f920e69179,visit_management,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
14,df1c47be-c33c-4015-b6cf-27e5fac98634,99efa33e-8a21-4b1f-a5ac-92f920e69179,doctor_schedule,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
15,d4f1a18b-a084-4fe8-8ac9-5ac9b956db4a,99efa33e-8a21-4b1f-a5ac-92f920e69179,prescription,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
16,2da274c5-e353-4d15-afc3-6a6d6f361c09,99efa33e-8a21-4b1f-a5ac-92f920e69179,outpatient_billing,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
17,77e7601a-3a3c-4ed5-a078-1696645b8fe5,99efa33e-8a21-4b1f-a5ac-92f920e69179,appointment_booking,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
18,588d4f10-fa1b-4334-9962-79d0dd3add37,99efa33e-8a21-4b1f-a5ac-92f920e69179,medical_records,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
19,b34d88c1-62b7-4fcc-85bf-04fddd43f370,99efa33e-8a21-4b1f-a5ac-92f920e69179,ai_assistant,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
20,17b71638-c5e0-4f77-a5b1-09ec903ff044,99efa33e-8a21-4b1f-a5ac-92f920e69179,admission_management,t,{},2026-03-04 04:32:58.863404+00,2026-03-04 04:32:58.863404+00
