_excel_row_number,id,user_id,clinic_id,is_active,joined_at,deactivated_at,deactivation_reason,created_at,updated_at,created_by,updated_by,is_deleted,deleted_at,deleted_by
2,f0e1fe9f-be57-40b2-bbd5-d732d980fd25,e965c822-85f2-489d-8906-a4bc7ee8f51f,d5ac6269-d8cf-4821-ac8b-a6341e68987b,t,2026-01-27 07:15:56.561706+00,,,2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00,1c2593a7-1aad-457a-b536-9d568f49dd96,,f,,
3,d32fed3d-e6ef-4a83-9d50-1426fc103d1b,3105f7cb-1e03-4634-8f1b-c6356f382784,d5ac6269-d8cf-4821-ac8b-a6341e68987b,t,2026-02-05 13:06:03.751+00,,,2026-02-05 13:06:03.941564+00,2026-02-05 13:06:03.941564+00,,,f,,
4,ff8caf50-6bd4-4c6a-b021-043f3b479ba9,6b9bdb5b-a56a-496c-90d9-3330f5a44120,e137130e-ce05-403d-aa63-d4d63e03699d,t,2026-03-02 09:37:47.707637+00,,,2026-03-02 09:37:47.707637+00,2026-03-02 09:37:47.707637+00,,,f,,
5,8776cf0e-48a5-426f-bf3b-d8f69dac2814,356c610a-379b-40e0-90b2-b3d6956a5e36,99efa33e-8a21-4b1f-a5ac-92f920e69179,t,2026-03-05 00:59:41.783294+00,,,2026-03-05 00:59:41.783294+00,2026-03-05 00:59:41.783294+00,,,f,,
6,7cb754b6-030f-44d9-aa38-5a7644ba3c66,1c2593a7-1aad-457a-b536-9d568f49dd96,99efa33e-8a21-4b1f-a5ac-92f920e69179,t,2026-03-05 10:15:03.516178+00,,,2026-03-05 10:15:03.516178+00,2026-03-05 10:15:03.516178+00,,,f,,
7,d2acaeab-14f7-4688-8a84-a3cb0c751203,fd605435-d71c-4c25-9a46-43f3b9e6e989,99efa33e-8a21-4b1f-a5ac-92f920e69179,t,2026-03-12 09:26:21.947+00,,,2026-03-12 09:26:22.122249+00,2026-03-12 09:26:22.122249+00,,,f,,
8,dc1a4d50-f1de-41b2-9ed5-9937893cd2d6,ea1355c7-7d62-4b98-848d-04641c9132b9,e137130e-ce05-403d-aa63-d4d63e03699d,t,2026-03-14 03:58:38.573+00,,,2026-03-14 03:58:39.842255+00,2026-03-14 03:58:39.842255+00,,,f,,
9,f667d72e-9a18-4c28-af8b-90912bf70151,fceaa474-bf52-479e-86f9-7d940e2e48fc,e137130e-ce05-403d-aa63-d4d63e03699d,t,2026-03-15 13:31:24.312+00,,,2026-03-15 13:31:24.528555+00,2026-03-15 13:31:24.528555+00,,,f,,
10,b57fb651-0363-47d0-a520-854458dfd0a8,3d965e54-bae9-43c1-8689-f53f7d5a921f,d5ac6269-d8cf-4821-ac8b-a6341e68987b,t,2026-03-14 04:08:59.414+00,,,2026-02-05 10:24:51.363704+00,2026-02-05 10:24:51.363704+00,,,f,,
11,25c20d63-3511-40d4-b549-563241ae1547,3d965e54-bae9-43c1-8689-f53f7d5a921f,e137130e-ce05-403d-aa63-d4d63e03699d,t,2026-03-14 04:09:08.138+00,,,2026-03-14 03:59:06.967743+00,2026-03-14 03:59:06.967743+00,,,f,,
12,e31dc0d3-7078-4359-a163-ea0a2264daef,ea1355c7-7d62-4b98-848d-04641c9132b9,d5ac6269-d8cf-4821-ac8b-a6341e68987b,t,2026-03-14 04:09:21.921+00,,,2026-02-05 08:46:43.453989+00,2026-02-05 08:46:43.453989+00,,,f,,
13,ee0e5b4e-c440-4dd8-8de3-645477ec8e2d,ea1355c7-7d62-4b98-848d-04641c9132b9,99efa33e-8a21-4b1f-a5ac-92f920e69179,t,2026-03-14 04:09:28.128+00,,,2026-03-14 04:09:29.366486+00,2026-03-14 04:09:29.366486+00,,,f,,
14,7c117c6d-17e0-4104-b126-6d01b882e350,0a2ec4fa-9db6-4cac-8e24-39af7d9f0c3e,d5ac6269-d8cf-4821-ac8b-a6341e68987b,t,2026-03-14 04:09:39.573+00,,,2026-02-05 10:41:50.079025+00,2026-02-05 10:41:50.079025+00,,,f,,
15,0ca14fe1-99ec-44a0-b36b-8634920608a6,0a2ec4fa-9db6-4cac-8e24-39af7d9f0c3e,e137130e-ce05-403d-aa63-d4d63e03699d,t,2026-03-14 04:09:45.274+00,,,2026-03-14 03:59:58.310885+00,2026-03-14 03:59:58.310885+00,,,f,,
16,2991ba7c-de45-4bd2-b547-dbbf79d841a0,73b5d951-4eea-4c2c-b23d-46f66f61eb67,d5ac6269-d8cf-4821-ac8b-a6341e68987b,t,2026-03-14 04:09:59.646+00,,,2026-02-05 11:32:40.070991+00,2026-02-05 11:32:40.070991+00,,,f,,
17,86399bce-c230-4c1c-9961-a1d8199d2713,73b5d951-4eea-4c2c-b23d-46f66f61eb67,e137130e-ce05-403d-aa63-d4d63e03699d,t,2026-03-14 04:10:05.63+00,,,2026-03-14 03:59:32.090521+00,2026-03-14 03:59:32.090521+00,,,f,,
18,f4c1b87b-df91-49a5-a447-1e766d04700d,9fba0692-ba76-431b-bd93-9d3f44612e62,e137130e-ce05-403d-aa63-d4d63e03699d,t,2026-03-18 03:48:37.157+00,,,2026-03-18 03:48:37.325776+00,2026-03-18 03:48:37.325776+00,,,f,,
19,045faba8-4878-43ce-9ff0-3f88306fbbe8,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c4,d5ac6269-d8cf-4821-ac8b-a6341e68987b,t,2026-03-16 02:08:37.128819+00,,,2026-03-16 02:08:37.128819+00,2026-03-16 02:08:37.128819+00,,,f,,
20,a076fa3c-24cd-4e20-acda-cfd1b9e99987,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c5,d5ac6269-d8cf-4821-ac8b-a6341e68987b,t,2026-03-16 02:08:37.128819+00,,,2026-03-16 02:08:37.128819+00,2026-03-16 02:08:37.128819+00,,,f,,
21,219e39f7-2ac9-41b1-bd3c-6602fc881bb1,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c6,d5ac6269-d8cf-4821-ac8b-a6341e68987b,t,2026-03-16 02:08:37.128819+00,,,2026-03-16 02:08:37.128819+00,2026-03-16 02:08:37.128819+00,,,f,,
22,14742368-539a-496f-8caf-b74e4fec13fb,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c7,d5ac6269-d8cf-4821-ac8b-a6341e68987b,t,2026-03-16 02:08:37.128819+00,,,2026-03-16 02:08:37.128819+00,2026-03-16 02:08:37.128819+00,,,f,,
23,033a63e9-9b3c-4d47-9731-f87f7d93d6a8,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c8,d5ac6269-d8cf-4821-ac8b-a6341e68987b,t,2026-03-16 02:08:37.128819+00,,,2026-03-16 02:08:37.128819+00,2026-03-16 02:08:37.128819+00,,,f,,
