_excel_row_number,id,clinic_type,module_code,is_allowed,created_at
2,a0095e1c-fa5e-4073-b101-42b02f3a3d35,OPD,appointment,t,2026-02-06 03:03:58.13422+00
3,24f2f730-b873-42c7-8fef-6f4214280a28,OPD,consultation,t,2026-02-06 03:03:58.13422+00
4,a44eb9cf-e1c7-4bbf-a761-f714c61ef7f7,OPD,prescription,t,2026-02-06 03:03:58.13422+00
5,7cdce2d1-cb13-4498-b68c-1301988f3809,OPD,vitals_basic,t,2026-02-06 03:03:58.13422+00
6,d946d2d9-9b5d-41f2-9be8-1ae9a5a0202f,OPD,patient_portal,t,2026-02-06 03:03:58.13422+00
7,bc5355b7-f063-4122-91e5-3d0e956c3cf5,OPD,billing,t,2026-02-06 03:03:58.13422+00
8,d02c68de-43a2-4e73-999f-bd3145c8bcf1,OPD,inpatient,f,2026-02-06 03:03:58.13422+00
9,4e679440-00b9-4c85-8f14-319db3adaeee,OPD,bed_management,f,2026-02-06 03:03:58.13422+00
10,f6caf807-96c9-45f6-b3ab-e31819a8c14f,OPD,ward_management,f,2026-02-06 03:03:58.13422+00
11,e7d08717-ef16-4e0a-990a-2a220e10fa3f,OPD,lis_ownership,f,2026-02-06 03:03:58.13422+00
12,f79a6703-405f-4308-a0fb-0e94533b2773,OPD,ris_ownership,f,2026-02-06 03:03:58.13422+00
13,45397e1b-9b3b-4038-8597-f9101b9dbaea,OPD,sample_collection,f,2026-02-06 03:03:58.13422+00
14,76674134-521a-46b1-97f5-7187997181b6,OPD_IPD,appointment,t,2026-02-06 03:03:58.13422+00
15,ccde25ee-c000-42d2-aba2-68a1957300e3,OPD_IPD,consultation,t,2026-02-06 03:03:58.13422+00
16,9047c773-1df2-434e-a3b6-ac6edccd2fd0,OPD_IPD,prescription,t,2026-02-06 03:03:58.13422+00
17,3c313d9b-344d-4941-a8dd-b5f07db3e3d4,OPD_IPD,vitals_basic,t,2026-02-06 03:03:58.13422+00
18,f02f91a9-30d0-4080-9a54-e6d183cf606f,OPD_IPD,vitals_continuous,t,2026-02-06 03:03:58.13422+00
19,30a2d1bc-ffeb-4b1c-a868-2ca7e2cc9c55,OPD_IPD,patient_portal,t,2026-02-06 03:03:58.13422+00
20,1c932132-7faf-411a-86af-ff65ab3092af,OPD_IPD,billing,t,2026-02-06 03:03:58.13422+00
21,966e58e9-b055-4138-be3e-059c3713d814,OPD_IPD,inpatient,t,2026-02-06 03:03:58.13422+00
22,fd9d0404-6a04-4877-81c5-21cdca2a1c10,OPD_IPD,bed_management,t,2026-02-06 03:03:58.13422+00
23,fde4401c-7100-41c9-a44b-215cfaeb8e4b,OPD_IPD,ward_management,t,2026-02-06 03:03:58.13422+00
24,9afde336-4644-456a-858b-45f8c7e024dc,OPD_IPD,nursing_workflow,t,2026-02-06 03:03:58.13422+00
25,4efba749-f741-4ed2-8a5c-de23ee0f5f9c,OPD_IPD,lis_ownership,f,2026-02-06 03:03:58.13422+00
26,52bae06c-2b0d-4983-baa3-97b27ea3e791,OPD_IPD,ris_ownership,f,2026-02-06 03:03:58.13422+00
27,4b664349-b97f-4fda-a1ad-f25622c1bd2c,DIAGNOSTIC,appointment,f,2026-02-06 03:03:58.13422+00
28,dcca233a-72e5-4fe9-89dd-16633f76efe8,DIAGNOSTIC,consultation,f,2026-02-06 03:03:58.13422+00
29,155102a4-6c55-48b1-b22a-e25e6005d97f,DIAGNOSTIC,prescription,f,2026-02-06 03:03:58.13422+00
30,11514b88-9335-4b2c-9ea7-471385255259,DIAGNOSTIC,inpatient,f,2026-02-06 03:03:58.13422+00
31,de8d2cd4-d4dc-48c6-a3ba-3df92d581024,DIAGNOSTIC,bed_management,f,2026-02-06 03:03:58.13422+00
32,a612c08b-8e8b-46eb-92ce-73b78683289d,DIAGNOSTIC,test_orders,t,2026-02-06 03:03:58.13422+00
33,853d1ae9-2f15-491b-8c04-9da651d929ce,DIAGNOSTIC,imaging_orders,t,2026-02-06 03:03:58.13422+00
34,13980a27-e873-4db8-a11d-b6998c9ebfbd,DIAGNOSTIC,sample_collection,t,2026-02-06 03:03:58.13422+00
35,12dc42d1-6a97-4c43-bf99-b8a711b01e6a,DIAGNOSTIC,result_publishing,t,2026-02-06 03:03:58.13422+00
36,6d6b9d76-bcb6-4640-9a11-5288996f684c,DIAGNOSTIC,lis_ownership,t,2026-02-06 03:03:58.13422+00
37,ca27c57c-b7af-45fa-afdd-17b68cdc3c95,DIAGNOSTIC,ris_ownership,t,2026-02-06 03:03:58.13422+00
38,dd894d9f-0bba-4a6b-a6e4-7af9c7b26bd6,DIAGNOSTIC,patient_portal,t,2026-02-06 03:03:58.13422+00
39,7612dc0f-fb80-4dc0-8d9b-095a1454710b,DIAGNOSTIC,billing,t,2026-02-06 03:03:58.13422+00
