_excel_row_number,id,clinic_id,doctor_id,room_id,day_of_week,start_time,end_time,is_active,notes,created_at,updated_at,created_by,updated_by
2,9167f41b-58cb-4e3a-a0fe-cbbc09d5786b,d5ac6269-d8cf-4821-ac8b-a6341e68987b,f726e781-03bf-4eb2-9cf6-8a628f6badf6,ee9e6f4b-ba62-4fd3-b00a-b71e49e4eabc,1,08:00:00,17:00:00,t,,2026-01-27 17:50:28.309421+00,2026-01-27 17:50:28.309421+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
3,4064c511-aeb3-4e30-aa91-b2518a46cb32,d5ac6269-d8cf-4821-ac8b-a6341e68987b,f726e781-03bf-4eb2-9cf6-8a628f6badf6,ee9e6f4b-ba62-4fd3-b00a-b71e49e4eabc,2,08:00:00,17:00:00,t,,2026-01-27 17:50:29.525208+00,2026-01-27 17:50:29.525208+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
4,fce38409-0660-4a97-8053-a9042775bcfa,d5ac6269-d8cf-4821-ac8b-a6341e68987b,05633a99-3aea-48f0-bd47-042ae9db4aac,e890e202-d566-4d55-89a8-79163606a136,1,08:00:00,17:00:00,t,,2026-01-27 17:51:49.566987+00,2026-01-27 17:51:49.566987+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
5,f1773e89-e2de-497a-a427-297213b1485e,d5ac6269-d8cf-4821-ac8b-a6341e68987b,05633a99-3aea-48f0-bd47-042ae9db4aac,ee9e6f4b-ba62-4fd3-b00a-b71e49e4eabc,3,07:00:00,23:03:00,t,,2026-01-27 17:51:52.031045+00,2026-01-28 13:37:55.57912+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
6,7186285b-62dc-4cd4-bfdf-8d3f2fa1bae3,d5ac6269-d8cf-4821-ac8b-a6341e68987b,05633a99-3aea-48f0-bd47-042ae9db4aac,ee9e6f4b-ba62-4fd3-b00a-b71e49e4eabc,2,00:00:00,12:00:00,t,,2026-01-27 17:51:50.810475+00,2026-01-28 13:38:29.402197+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
7,71637a19-2ae9-4d41-9785-89bff07eea00,d5ac6269-d8cf-4821-ac8b-a6341e68987b,05633a99-3aea-48f0-bd47-042ae9db4aac,ee9e6f4b-ba62-4fd3-b00a-b71e49e4eabc,6,00:00:00,12:00:00,t,,2026-01-30 14:29:05.768171+00,2026-01-30 14:29:05.768171+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
8,cea8a975-68d8-4e5d-9d12-57e55a684d3f,d5ac6269-d8cf-4821-ac8b-a6341e68987b,f726e781-03bf-4eb2-9cf6-8a628f6badf6,,3,08:00:00,12:00:00,t,,2026-01-27 17:50:30.673638+00,2026-01-28 17:00:45.842275+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
9,73ec46d9-c8b1-43b4-9185-28ea75d17e62,d5ac6269-d8cf-4821-ac8b-a6341e68987b,05633a99-3aea-48f0-bd47-042ae9db4aac,ee9e6f4b-ba62-4fd3-b00a-b71e49e4eabc,1,00:00:00,12:00:00,t,,2026-01-30 14:28:59.526376+00,2026-01-30 14:28:59.526376+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
10,c6187a67-4527-4492-a0cd-221151db8784,d5ac6269-d8cf-4821-ac8b-a6341e68987b,05633a99-3aea-48f0-bd47-042ae9db4aac,ee9e6f4b-ba62-4fd3-b00a-b71e49e4eabc,3,00:00:00,12:00:00,t,,2026-01-30 14:29:01.952078+00,2026-01-30 14:29:01.952078+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
11,df7a1dff-71ce-496a-ad86-173f0099dd9b,d5ac6269-d8cf-4821-ac8b-a6341e68987b,05633a99-3aea-48f0-bd47-042ae9db4aac,ee9e6f4b-ba62-4fd3-b00a-b71e49e4eabc,5,00:00:00,12:00:00,t,,2026-01-30 14:29:04.339304+00,2026-01-30 14:29:04.339304+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
12,99dfa90b-f0bb-46b2-8c4e-b63bb26cccdb,d5ac6269-d8cf-4821-ac8b-a6341e68987b,05633a99-3aea-48f0-bd47-042ae9db4aac,ee9e6f4b-ba62-4fd3-b00a-b71e49e4eabc,0,00:00:00,12:00:00,t,,2026-01-30 14:29:07.078704+00,2026-01-30 14:29:07.078704+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
13,b4cc292e-02c6-4190-8e65-63664f626ba6,d5ac6269-d8cf-4821-ac8b-a6341e68987b,05633a99-3aea-48f0-bd47-042ae9db4aac,,5,08:00:00,12:00:00,t,,2026-01-27 17:51:54.31471+00,2026-01-30 14:29:50.050236+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
14,e2b680f5-8446-463a-a8cc-e995441fe012,d5ac6269-d8cf-4821-ac8b-a6341e68987b,f726e781-03bf-4eb2-9cf6-8a628f6badf6,,5,00:00:00,23:56:00,t,,2026-01-27 17:50:32.958697+00,2026-01-30 16:21:13.725666+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
15,54ed16bf-9ce4-48e9-9834-fa7210d1e4ab,d5ac6269-d8cf-4821-ac8b-a6341e68987b,05633a99-3aea-48f0-bd47-042ae9db4aac,ee9e6f4b-ba62-4fd3-b00a-b71e49e4eabc,4,01:00:00,23:00:00,t,,2026-01-27 17:51:53.15346+00,2026-02-05 10:48:53.961258+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
16,7728599b-5ae8-4c65-80bf-c23f56724e77,d5ac6269-d8cf-4821-ac8b-a6341e68987b,f726e781-03bf-4eb2-9cf6-8a628f6badf6,,4,08:00:00,23:00:00,t,,2026-01-27 17:50:31.810328+00,2026-02-05 10:49:06.113827+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
17,a2fb5a67-7cc7-4ef6-bdae-7544b3f26caf,d5ac6269-d8cf-4821-ac8b-a6341e68987b,47b7da61-2af9-44b7-bf87-645c004c5910,3ad8d048-7d5b-4a2e-8959-7193a27765e7,1,08:00:00,23:00:00,t,,2026-02-05 11:18:31.811826+00,2026-02-05 11:18:31.811826+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
18,1a89b224-cc00-48b9-972b-76ed2d3950d6,d5ac6269-d8cf-4821-ac8b-a6341e68987b,47b7da61-2af9-44b7-bf87-645c004c5910,3ad8d048-7d5b-4a2e-8959-7193a27765e7,2,08:00:00,23:00:00,t,,2026-02-05 11:18:33.194435+00,2026-02-05 11:18:33.194435+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
19,d59234b8-e745-4bc4-9c74-98ea8b1de233,d5ac6269-d8cf-4821-ac8b-a6341e68987b,47b7da61-2af9-44b7-bf87-645c004c5910,3ad8d048-7d5b-4a2e-8959-7193a27765e7,3,08:00:00,23:00:00,t,,2026-02-05 11:18:34.549143+00,2026-02-05 11:18:34.549143+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
20,66c78af0-6788-43d4-9552-9520e50ec111,d5ac6269-d8cf-4821-ac8b-a6341e68987b,47b7da61-2af9-44b7-bf87-645c004c5910,3ad8d048-7d5b-4a2e-8959-7193a27765e7,4,08:00:00,23:00:00,t,,2026-02-05 11:18:35.913402+00,2026-02-05 11:18:35.913402+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
21,321fc968-7a9a-4b7f-b5d1-0f8e69b51632,d5ac6269-d8cf-4821-ac8b-a6341e68987b,47b7da61-2af9-44b7-bf87-645c004c5910,3ad8d048-7d5b-4a2e-8959-7193a27765e7,5,08:00:00,23:00:00,t,,2026-02-05 11:18:37.190705+00,2026-02-05 11:18:37.190705+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
22,24984d85-ab59-4db3-b60d-4bcd56af4baa,d5ac6269-d8cf-4821-ac8b-a6341e68987b,47b7da61-2af9-44b7-bf87-645c004c5910,3ad8d048-7d5b-4a2e-8959-7193a27765e7,0,08:00:00,23:00:00,t,,2026-02-05 11:18:38.35994+00,2026-02-05 11:18:38.35994+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
23,b8b1d7e5-2ed5-497a-b823-7f0837d0dd4d,d5ac6269-d8cf-4821-ac8b-a6341e68987b,47b7da61-2af9-44b7-bf87-645c004c5910,3ad8d048-7d5b-4a2e-8959-7193a27765e7,6,08:00:00,23:00:00,t,,2026-02-05 11:18:39.615356+00,2026-02-05 11:18:39.615356+00,e965c822-85f2-489d-8906-a4bc7ee8f51f,e965c822-85f2-489d-8906-a4bc7ee8f51f
24,2912b6a2-966f-416d-aa03-d887f90bb3e9,d5ac6269-d8cf-4821-ac8b-a6341e68987b,7adf8c6b-454c-43d5-973b-f1b6baedbfb8,,1,08:00:00,17:00:00,t,,2026-04-03 08:09:33.004554+00,2026-04-03 08:09:33.004554+00,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c9,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c9
25,aa706931-a0b9-4b6d-bb7d-b6e7847668ea,d5ac6269-d8cf-4821-ac8b-a6341e68987b,7adf8c6b-454c-43d5-973b-f1b6baedbfb8,,2,08:00:00,17:00:00,t,,2026-04-03 08:09:34.615527+00,2026-04-03 08:09:34.615527+00,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c9,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c9
26,3b525ee9-6c33-4ba9-b1b3-8d9438fee0c8,d5ac6269-d8cf-4821-ac8b-a6341e68987b,7adf8c6b-454c-43d5-973b-f1b6baedbfb8,,3,08:00:00,17:00:00,t,,2026-04-03 08:09:36.092875+00,2026-04-03 08:09:36.092875+00,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c9,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c9
27,28e9df57-6583-4853-8589-c872762abd78,d5ac6269-d8cf-4821-ac8b-a6341e68987b,7adf8c6b-454c-43d5-973b-f1b6baedbfb8,,4,08:00:00,17:00:00,t,,2026-04-03 08:09:37.399633+00,2026-04-03 08:09:37.399633+00,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c9,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c9
28,046a97fc-d61d-45bd-812e-28966741888b,d5ac6269-d8cf-4821-ac8b-a6341e68987b,7adf8c6b-454c-43d5-973b-f1b6baedbfb8,,5,08:00:00,17:00:00,t,,2026-04-03 08:09:38.735412+00,2026-04-03 08:09:38.735412+00,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c9,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c9
