_excel_row_number,id,country_id,code,name,name_en,is_active,display_order,created_at,updated_at,name_km
2,b1802db4-7d4a-472c-b6ae-4c7105d366e0,8877d8e9-5808-4919-9ae6-ed69073ece14,79,TP. Hồ Chí Minh,Ho Chi Minh City,t,2,2026-01-24 04:56:45.318995+00,2026-01-24 04:56:45.318995+00,
3,477543d2-075c-4b77-8f92-2ed4fc70cedc,8877d8e9-5808-4919-9ae6-ed69073ece14,48,Đà Nẵng,Da Nang,t,3,2026-01-24 04:56:45.318995+00,2026-01-24 04:56:45.318995+00,
4,7bae52e9-7fcc-49ad-830f-70ededec1776,8877d8e9-5808-4919-9ae6-ed69073ece14,01,XXX,Hanoi,t,1,2026-01-24 04:56:45.318995+00,2026-01-24 13:45:03.821664+00,
5,387094dd-d1dd-4d89-af44-4d46d2e5a088,5d56f03f-b751-4947-b55d-d7d921e420f2,PHP,Phnom Penh,Phnom Penh,t,1,2026-01-27 07:00:20.990956+00,2026-01-27 07:00:20.990956+00,
6,574ff575-5270-4135-adce-ce9b66e073a0,5d56f03f-b751-4947-b55d-d7d921e420f2,BMY,Banteay Meanchey,Banteay Meanchey,t,2,2026-01-27 07:00:40.937583+00,2026-01-27 07:00:40.937583+00,
7,6ce5dcb5-387c-41dd-b150-0d7af2eddb5c,5d56f03f-b751-4947-b55d-d7d921e420f2,BBG,Battambang,Battambang,t,3,2026-01-27 07:00:57.498903+00,2026-01-27 07:00:57.498903+00,
8,4148dc54-b8cb-4b24-98d8-44906eac52a6,5d56f03f-b751-4947-b55d-d7d921e420f2,KCM,Kampong Cham,Kampong Cham,t,4,2026-01-27 07:01:13.657234+00,2026-01-27 07:01:13.657234+00,
9,d8ab17ea-08b4-4ead-8542-c789dcb8de4f,5d56f03f-b751-4947-b55d-d7d921e420f2,KTM,Kampong Thom,Kampong Thom,t,5,2026-01-27 07:01:31.039593+00,2026-01-27 07:01:31.039593+00,
10,54feca99-3620-4afb-8ea3-e56a6585b21c,5d56f03f-b751-4947-b55d-d7d921e420f2,KPT,Kampot,Kampot,t,6,2026-01-27 07:01:49.341554+00,2026-01-27 07:01:49.341554+00,
11,f0ab17cf-e3f8-4c29-be54-5a78916f2738,5d56f03f-b751-4947-b55d-d7d921e420f2,KDL,Kandal,Kandal,t,6,2026-01-27 07:02:10.660204+00,2026-01-27 07:02:10.660204+00,
12,9f10a782-9dee-41c7-96d5-6977d619547a,5d56f03f-b751-4947-b55d-d7d921e420f2,KKG,Koh Kong,Koh Kong,t,7,2026-01-27 07:02:31.85111+00,2026-01-27 07:02:31.85111+00,
13,e900de8d-cc48-4146-a100-a159e6cd1ee4,5d56f03f-b751-4947-b55d-d7d921e420f2,MDI,Mondulkiri,Mondulkiri,t,8,2026-01-27 07:02:49.292655+00,2026-01-27 07:02:49.292655+00,
14,d178c3f7-a8c0-41cf-a290-568d0e6de0f0,5d56f03f-b751-4947-b55d-d7d921e420f2,OMY,Oddar Meanchey,Oddar Meanchey,t,9,2026-01-27 07:03:09.063045+00,2026-01-27 07:03:09.063045+00,
15,81b241d4-211e-4dc1-bb42-f33e1d7d6d80,5d56f03f-b751-4947-b55d-d7d921e420f2,PVR,Preah Vihear,Preah Vihear,t,10,2026-01-27 07:03:24.926025+00,2026-01-27 07:03:24.926025+00,
16,e2515b42-d52c-4935-a61b-5135b062196a,5d56f03f-b751-4947-b55d-d7d921e420f2,RTI,Ratanakiri,Ratanakiri,t,11,2026-01-27 07:03:40.985845+00,2026-01-27 07:03:40.985845+00,
17,ceeea013-1d9a-44ba-a81c-68a98279903b,5d56f03f-b751-4947-b55d-d7d921e420f2,SRP,Siem Reap,Siem Reap,t,12,2026-01-27 07:03:54.674853+00,2026-01-27 07:03:54.674853+00,
18,dc9b569e-3281-4c26-99cf-0d71a3c3c92a,5d56f03f-b751-4947-b55d-d7d921e420f2,SKE,Sihanoukville,Sihanoukville,t,13,2026-01-27 07:04:13.08204+00,2026-01-27 07:04:13.08204+00,
