_excel_row_number,id,organization_id,user_id,role,is_active,invited_at,joined_at,invited_by,created_at,updated_at
2,45defbc9-843a-4ad6-8215-9eca7d9c7b6e,d9d8f6da-1cb7-4a04-a44f-48d833965bfe,e965c822-85f2-489d-8906-a4bc7ee8f51f,org_owner,t,2026-01-27 06:43:40.948475+00,2026-01-27 06:43:40.948475+00,1c2593a7-1aad-457a-b536-9d568f49dd96,2026-01-27 06:43:40.948475+00,2026-01-27 06:43:40.948475+00
3,a90222c5-283e-40b9-bd5a-7aa4987160d2,d9d8f6da-1cb7-4a04-a44f-48d833965bfe,ea1355c7-7d62-4b98-848d-04641c9132b9,org_admin,t,2026-02-05 10:07:17.467206+00,2026-02-05 10:07:17.467206+00,,2026-02-05 10:07:17.467206+00,2026-02-05 10:07:17.467206+00
4,4563b70b-c7e0-44d2-82c9-deb0c4ee1f38,d9d8f6da-1cb7-4a04-a44f-48d833965bfe,3d965e54-bae9-43c1-8689-f53f7d5a921f,org_admin,t,2026-02-05 11:24:44.176997+00,,,2026-02-05 11:24:44.176997+00,2026-02-05 11:24:44.176997+00
5,c062c624-b1a6-4789-b292-db065d510347,d9d8f6da-1cb7-4a04-a44f-48d833965bfe,6b9bdb5b-a56a-496c-90d9-3330f5a44120,org_admin,t,2026-03-02 09:37:47.707637+00,2026-03-02 09:37:47.707637+00,,2026-03-02 09:37:47.707637+00,2026-03-02 09:37:47.707637+00
6,e7b8cbb7-c161-46ca-a8b5-29846c88ccc8,5685eff5-f316-41f5-afc6-f4dc4a2a2bfe,1c2593a7-1aad-457a-b536-9d568f49dd96,org_owner,t,2026-03-04 04:30:38.543623+00,2026-03-04 04:30:38.543623+00,1c2593a7-1aad-457a-b536-9d568f49dd96,2026-03-04 04:30:38.543623+00,2026-03-04 04:30:38.543623+00
7,611be96b-7c2e-49d5-bee3-b4d5062ff1f6,5685eff5-f316-41f5-afc6-f4dc4a2a2bfe,356c610a-379b-40e0-90b2-b3d6956a5e36,org_admin,t,2026-03-04 04:58:31.481436+00,2026-03-04 04:58:30.973+00,,2026-03-04 04:58:31.481436+00,2026-03-04 04:58:31.481436+00
8,1a174e25-0993-455b-8260-bdab0dcc4e5d,2915934f-da4c-4ab3-be34-1426993cd62e,de865e98-93fe-4575-9573-ab7075da31b5,org_owner,t,2026-03-12 09:19:21.136127+00,2026-03-12 09:19:21.136127+00,1c2593a7-1aad-457a-b536-9d568f49dd96,2026-03-12 09:19:21.136127+00,2026-03-12 09:19:21.136127+00
9,ea7c2f50-94f3-474d-b39e-819847c0b8b9,67bea4db-a669-4794-8277-f2d81314fc7b,02330184-eb87-4adb-8caa-8e4523b35f89,org_owner,t,2026-03-12 17:43:12.336452+00,2026-03-12 17:43:12.336452+00,1c2593a7-1aad-457a-b536-9d568f49dd96,2026-03-12 17:43:12.336452+00,2026-03-12 17:43:12.336452+00
10,74e6ee32-1895-4c71-bbb3-b03c8d29fd9f,d9d8f6da-1cb7-4a04-a44f-48d833965bfe,0a2ec4fa-9db6-4cac-8e24-39af7d9f0c3e,org_admin,t,2026-03-13 18:54:27.29972+00,,,2026-03-13 18:54:27.29972+00,2026-03-13 18:54:27.29972+00
11,c6e29005-cd2f-4962-bbed-28f548062da0,d9d8f6da-1cb7-4a04-a44f-48d833965bfe,73b5d951-4eea-4c2c-b23d-46f66f61eb67,org_admin,t,2026-03-13 18:54:27.29972+00,,,2026-03-13 18:54:27.29972+00,2026-03-13 18:54:27.29972+00
12,67bca0ee-45ad-47b1-b80b-de35cf25a0ee,b8b5107e-9873-4000-a351-960d59d594b0,1c2593a7-1aad-457a-b536-9d568f49dd96,org_owner,t,2026-03-14 04:33:40.085817+00,2026-03-14 04:33:40.085817+00,1c2593a7-1aad-457a-b536-9d568f49dd96,2026-03-14 04:33:40.085817+00,2026-03-14 04:33:40.085817+00
13,96437700-b8a4-4713-a3bc-e9b88cc8e9d4,d9d8f6da-1cb7-4a04-a44f-48d833965bfe,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c4,org_admin,t,2026-03-16 02:08:54.755473+00,,,2026-03-16 02:08:54.755473+00,2026-03-16 02:08:54.755473+00
14,b7eeb122-6d2a-48f9-aac4-8a0e95a7b381,d9d8f6da-1cb7-4a04-a44f-48d833965bfe,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c5,org_admin,t,2026-03-16 02:08:54.755473+00,,,2026-03-16 02:08:54.755473+00,2026-03-16 02:08:54.755473+00
15,63d0c742-11c2-4bab-bc8c-66030516c951,d9d8f6da-1cb7-4a04-a44f-48d833965bfe,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c6,org_admin,t,2026-03-16 02:08:54.755473+00,,,2026-03-16 02:08:54.755473+00,2026-03-16 02:08:54.755473+00
16,798a25b9-6988-464b-ac88-ef4a04c8651f,d9d8f6da-1cb7-4a04-a44f-48d833965bfe,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c7,org_admin,t,2026-03-16 02:08:54.755473+00,,,2026-03-16 02:08:54.755473+00,2026-03-16 02:08:54.755473+00
17,942920df-5041-4600-8c3b-ca48f2d1a107,d9d8f6da-1cb7-4a04-a44f-48d833965bfe,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c8,org_admin,t,2026-03-16 02:08:54.755473+00,,,2026-03-16 02:08:54.755473+00,2026-03-16 02:08:54.755473+00
18,1f3bf7df-9e4b-42d2-95e1-e6b5f953b6c7,d9d8f6da-1cb7-4a04-a44f-48d833965bfe,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c9,org_admin,t,2026-03-16 02:08:54.755473+00,,,2026-03-16 02:08:54.755473+00,2026-03-16 02:08:54.755473+00
