_excel_row_number,id,clinic_type,feature_code,feature_name,feature_name_vi,description,is_default_enabled,display_order
2,f1e64e06-228a-4a8d-8e19-7149d1345daa,OUTPATIENT_CLINIC,patient_registration,Patient Registration,Đăng ký bệnh nhân,,t,1
3,165a0240-3998-40c7-91c0-c4cab7f8c8b9,OUTPATIENT_CLINIC,visit_management,Visit Management,Quản lý lượt khám,,t,2
4,f6f8ed85-3424-4041-8ce4-e2aa203d3307,OUTPATIENT_CLINIC,doctor_schedule,Doctor Schedule,Lịch làm việc bác sĩ,,t,3
5,9ec4a86e-427f-44c2-a5cc-31d2ec2e525c,OUTPATIENT_CLINIC,prescription,Prescription,Kê đơn thuốc,,t,4
6,b4429edb-b76f-47b3-b5fc-9ef13223966b,OUTPATIENT_CLINIC,outpatient_billing,Outpatient Billing,Thanh toán ngoại trú,,t,5
7,9a9c57e2-646d-44dc-a450-799b33c88f47,OUTPATIENT_CLINIC,appointment_booking,Appointment Booking,Đặt lịch hẹn,,t,6
8,425b2717-4f2d-46b2-a6f5-1f78a4ec3ab4,OUTPATIENT_CLINIC,medical_records,Medical Records,Hồ sơ bệnh án,,t,7
9,06201a68-cc67-49a4-a82f-ad71dd13af76,OUTPATIENT_CLINIC,ai_assistant,AI Assistant,Trợ lý AI,,t,8
10,4212977c-f18b-44a6-a16a-973cf61937f7,GENERAL_CLINIC_WITH_INPATIENT,patient_registration,Patient Registration,Đăng ký bệnh nhân,,t,1
11,efd0c986-aca3-429c-bced-0c1ad128db25,GENERAL_CLINIC_WITH_INPATIENT,visit_management,Visit Management,Quản lý lượt khám,,t,2
12,d68652bb-1759-4f88-848d-e738c20b4e97,GENERAL_CLINIC_WITH_INPATIENT,doctor_schedule,Doctor Schedule,Lịch làm việc bác sĩ,,t,3
13,99114438-34f5-4b1f-8b76-cdfc79b9b475,GENERAL_CLINIC_WITH_INPATIENT,prescription,Prescription,Kê đơn thuốc,,t,4
14,9e7d464b-7208-4521-9193-6d6bf9e5b7ee,GENERAL_CLINIC_WITH_INPATIENT,outpatient_billing,Outpatient Billing,Thanh toán ngoại trú,,t,5
15,5e0f3a10-ea6b-4c08-a141-43a18d178a40,GENERAL_CLINIC_WITH_INPATIENT,appointment_booking,Appointment Booking,Đặt lịch hẹn,,t,6
16,dcfcb65e-d8b5-4b0e-8649-7065c09b8f7d,GENERAL_CLINIC_WITH_INPATIENT,medical_records,Medical Records,Hồ sơ bệnh án,,t,7
17,606b01d8-45f5-48ac-8403-e2eb5892bc04,GENERAL_CLINIC_WITH_INPATIENT,ai_assistant,AI Assistant,Trợ lý AI,,t,8
18,b425d116-e263-493d-b6f9-d2e2554f50f5,GENERAL_CLINIC_WITH_INPATIENT,admission_management,Admission Management,Quản lý nhập viện,,t,10
19,73a098a8-1efe-4f27-a304-ea4bcf77b3e7,GENERAL_CLINIC_WITH_INPATIENT,bed_management,Bed/Room Management,Quản lý giường/phòng,,t,11
20,7fb056d2-a8de-4b8e-b1b2-c30c15706c25,GENERAL_CLINIC_WITH_INPATIENT,inpatient_orders,Inpatient Orders,Y lệnh nội trú,,t,12
21,38d567bc-a656-43a0-9bbd-098daf7a724e,GENERAL_CLINIC_WITH_INPATIENT,nursing_notes,Nursing Notes,Ghi chép điều dưỡng,,t,13
22,c9f0b507-0d5a-4ead-b7a0-ffac8c904add,GENERAL_CLINIC_WITH_INPATIENT,inpatient_billing,Inpatient Billing,Thanh toán nội trú,,t,14
23,857768ac-724e-4bc3-a8a8-2f60e58996d8,GENERAL_CLINIC_WITH_INPATIENT,ward_management,Ward Management,Quản lý khoa phòng,,t,15
24,1d9dee66-5efe-4494-a397-dd23b4fb1792,DIAGNOSTIC_CENTER,patient_registration,Patient Registration,Đăng ký bệnh nhân,,t,1
25,6a3a806e-6bee-405a-b238-9dcb5e13fd17,DIAGNOSTIC_CENTER,order_intake,Order Intake,Tiếp nhận chỉ định,,t,2
26,7befe47f-2afe-4ab1-a705-e2f740ef6632,DIAGNOSTIC_CENTER,imaging_workflow,Imaging Workflow,Quy trình chẩn đoán hình ảnh,,t,3
27,d6b82a7b-8806-445f-bcb4-ba927fa8246a,DIAGNOSTIC_CENTER,lab_workflow,Laboratory Workflow,Quy trình xét nghiệm,,t,4
28,0c1d1246-80c0-41ad-8153-44cb878ec104,DIAGNOSTIC_CENTER,result_upload,Result Upload & Validation,Upload & xác nhận kết quả,,t,5
29,ffbfd826-230d-445f-9d86-88973190cd6c,DIAGNOSTIC_CENTER,result_delivery,Result Delivery,Trả kết quả,,t,6
30,5d999e36-1eef-4eb7-8251-bc48cb1368e4,DIAGNOSTIC_CENTER,external_orders,External Clinic Orders,Chỉ định từ cơ sở ngoài,,t,7
31,d5c72473-6121-40e8-801e-cf3075ac6f8b,DIAGNOSTIC_CENTER,pacs_integration,PACS Integration,Tích hợp PACS,,f,8
32,92aa2650-7d79-44f5-ab05-b0aa290d3717,DIAGNOSTIC_CENTER,lis_integration,LIS Integration,Tích hợp LIS,,f,9
33,0201fb62-34e1-4f99-8d75-24dcb9979d2b,DIAGNOSTIC_CENTER,diagnostic_billing,Diagnostic Billing,Thanh toán chẩn đoán,,t,10
34,ed84b0c0-7d10-4236-828e-8c5fa6e42692,COMPREHENSIVE_CLINIC,patient_registration,Patient Registration,Đăng ký bệnh nhân,,t,1
35,928e96be-5b25-4365-8369-a07679e666e6,COMPREHENSIVE_CLINIC,visit_management,Visit Management,Quản lý lượt khám,,t,2
