_excel_row_number,id,code,name_vi,name_en,category,chapter,is_active,display_order,created_at
2,5479d56c-23a4-479e-8c47-4d3ec7cc49bd,E061,Viêm tuyến giáp bán cấp,Subacute thyroiditis,E06,E,t,0,2026-03-24 09:08:36.52701+00
3,52de5796-ab4d-4dd2-b847-c379b6461ffb,E062,Viêm tuyến giáp mạn tính với cường giáp thoáng qua,Chronic thyroiditis with transient thyrotoxicosis,E06,E,t,0,2026-03-24 09:08:36.52701+00
4,e7bb07a5-be33-4550-b834-65365ce6c415,E063,Viêm tuyến giáp tự miễn,Autoimmune thyroiditis,E06,E,t,0,2026-03-24 09:08:36.52701+00
5,230827ee-7f93-41ed-807c-27386da9e053,E064,Viêm tuyến giáp do thuốc,Drug-induced thyroiditis,E06,E,t,0,2026-03-24 09:08:36.52701+00
6,0c78f489-fe21-4688-98ed-f444d149e30e,E065,Viêm tuyến giáp mạn tính khác,Other chronic thyroiditis,E06,E,t,0,2026-03-24 09:08:36.52701+00
7,1a89f034-4a2d-41e7-8e68-c1bab90a2f6f,E069,"Viêm tuyến giáp, không đặc hiệu","Thyroiditis, unspecified",E06,E,t,0,2026-03-24 09:08:36.52701+00
8,ef96aec1-403b-4cb6-9f89-0c3140de11ff,E070,Tăng tiết calcitonin,Hypersecretion of calcitonin,E07,E,t,0,2026-03-24 09:08:36.52701+00
9,69098295-8f94-4d96-8ce8-3b44cdc66d50,E071,Bướu giáp do rối loạn sinh tổng hợp hormone,Dyshormogenetic goiter,E07,E,t,0,2026-03-24 09:08:36.52701+00
10,addaaf5d-5443-4d57-8d86-d5b91ca0b45c,E0781,Hội chứng suy giáp bình giáp,Sick-euthyroid syndrome,E07,E,t,0,2026-03-24 09:08:36.52701+00
11,6acdb716-096e-4ed7-bdce-ae8a66db86c2,E0789,Các rối loạn tuyến giáp khác được chỉ định,Other specified disorders of thyroid,E07,E,t,0,2026-03-24 09:08:36.52701+00
12,37d8ba8d-877c-4d0b-8894-36fa3048b8c6,E079,"Rối loạn tuyến giáp, không đặc hiệu","Disorder of thyroid, unspecified",E07,E,t,0,2026-03-24 09:08:36.52701+00
