_excel_row_number,id,clinic_id,name,name_en,description,display_order,is_active,parent_id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_at,deleted_by,name_km
2,49bfdf26-8dda-4b10-9d63-14c46c9f3908,99efa33e-8a21-4b1f-a5ac-92f920e69179,Full health service,,,0,t,,2026-03-12 09:00:27.088271+00,2026-03-12 09:00:27.088271+00,1c2593a7-1aad-457a-b536-9d568f49dd96,,f,,,
3,c667d5db-018e-4b2f-8d9a-4ce7d34658be,d5ac6269-d8cf-4821-ac8b-a6341e68987b,General Health Check Up,General Health Check Up,,1,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
4,8af6ebc8-c767-4c1c-9dcb-acfdefc1c9a7,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check cholesterol levels,Check cholesterol levels,,2,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
5,816c32c4-7de8-48b4-8f86-e2091b7ca279,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Fasting Blood Glucose,Fasting Blood Glucose,,3,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
6,adc975e0-91f3-4c63-8e62-bf2dfd1759b9,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Prenatal care,Prenatal care,,4,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
7,3ed501b4-e23b-4c9b-a464-f854662780de,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Health check before marriage,Health check before marriage,,5,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
8,17b9da32-ed3a-4006-8c74-7d920e3009da,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Checking women's health during pregnancy,Checking women's health during pregnancy,,6,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
9,5d2a66d7-5142-4891-8b2e-c959d35daaed,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for the causes of male infertility,Check for the causes of male infertility,,7,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
10,0942d868-000d-4cc9-ad2f-a971475ace9c,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for causes of infertility in women,Check for causes of infertility in women,,8,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
11,35d0702a-c98f-4ad1-9cfd-2f35b21aff87,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check Liver Function,Check Liver Function,,9,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
12,382e2d86-c7e6-4c22-8e94-e5553e2d60f4,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for hepatitis A Virus,Check for hepatitis A Virus,,10,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
13,fb5c7190-d607-43be-b22d-096ec25d85da,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Testing for hepatitis B and C Virus,Testing for hepatitis B and C Virus,,11,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
14,bf2eb5b4-9f65-4d2f-8f27-6ac6459b75ec,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Screening for hepatitis virus before vaccination,Screening for hepatitis virus before vaccination,,12,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
15,ad3e8b9b-a588-47ce-9ac0-da29a7207322,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Count liver flukes B and C,Count liver flukes B and C,,13,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
16,d2c8067b-8cb9-4d94-a4f6-2dcc7a991c76,d5ac6269-d8cf-4821-ac8b-a6341e68987b,check urinary Function,check urinary Function,,14,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
17,ed0f4343-36e2-4126-a765-66375e27f276,d5ac6269-d8cf-4821-ac8b-a6341e68987b,check for fraudulent activity,check for fraudulent activity,,15,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
18,b4f6775b-99f1-4459-989f-90df354b1cb6,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for hypertension,Check for hypertension,,16,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
19,024f02c8-4f08-4b3f-87fb-79c32a159b42,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for intestinal diseases,Check for intestinal diseases,,17,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
20,d602a07c-296e-418d-9253-b5217d064ca3,d5ac6269-d8cf-4821-ac8b-a6341e68987b,check for insects in the blood,check for insects in the blood,,18,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
21,125c2d4e-409e-47e6-b0c4-566e8e95f9d1,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Test for arthritis,Test for arthritis,,19,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
22,56b5f44b-9a2c-4c3f-b1e6-3d22684a7bf9,d5ac6269-d8cf-4821-ac8b-a6341e68987b,check for male cancer,check for male cancer,,20,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
23,c8275c65-b864-4449-9188-0583197e7803,d5ac6269-d8cf-4821-ac8b-a6341e68987b,check for female cancer,check for female cancer,,21,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
24,b8500e57-4621-4eed-a19c-e4dea92bbdbc,d5ac6269-d8cf-4821-ac8b-a6341e68987b,check for blood cancer,check for blood cancer,,22,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
25,f37239f4-94de-4386-9abd-713dfbb80862,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Liver cancer screening,Liver cancer screening,,23,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
26,e55a2e29-c6da-42ba-80f9-9b731a622aba,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for obese children,Check for obese children,,24,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
27,a151884a-0668-46f6-93e6-f87cc1f56a1b,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for gonorrhea,Check for gonorrhea,,25,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
28,06d846d4-c91f-4152-9a75-b7dfbdbaf9c8,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for anemia,Check for anemia,,26,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
29,be62e745-ebdd-44f4-81ba-18b8747fdcb5,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for heart disease,Check for heart disease,,27,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
30,d5ac5161-1de8-4f5f-9bec-bb3907b55734,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for sexually transmitted diseases,Check for sexually transmitted diseases,,28,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
31,61839725-0f72-44d7-9586-236198b66e7b,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Drug Testing,Drug Testing,,29,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
32,66bbfddd-1ad7-49d7-99ee-74516bfdb230,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for stomach viruses in the blood,Check for stomach viruses in the blood,,30,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
33,b626ccca-560e-4050-9f66-a562290a90f1,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for stomach viruses by blowing air,Check for stomach viruses by blowing air,,31,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
34,e129572e-bf8b-45b5-9e86-8fe7bab429df,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for intestinal inflammation,Check for intestinal inflammation,,32,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
35,be4dc370-c85e-457d-af73-16a7ab538a24,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Blood test,Blood test,,33,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
36,e256d3d2-65b5-4101-8440-7becd3135b37,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for osteoporosis,Check for osteoporosis,,34,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
37,b34918af-b30f-46ec-bec1-efdfb7df8221,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Check for high blood pressure,Check for high blood pressure,,35,t,,2026-03-26 09:49:54.059041+00,2026-03-26 09:49:54.059041+00,,,f,,,
38,b0514d54-d6f7-4482-b89c-4f3d504b0e96,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Laboratories,Laboratories,Individual laboratory tests,36,t,,2026-03-26 10:27:48.47625+00,2026-03-26 10:27:48.47625+00,,,f,,,
39,a1000001-0000-0000-0000-000000000001,d5ac6269-d8cf-4821-ac8b-a6341e68987b,CT Scan,,Computed Tomography services,100,t,,2026-04-06 10:47:31.657211+00,2026-04-06 10:47:31.657211+00,,,f,,,
40,a1000001-0000-0000-0000-000000000002,d5ac6269-d8cf-4821-ac8b-a6341e68987b,MRI,,Magnetic Resonance Imaging services,101,t,,2026-04-06 10:47:31.657211+00,2026-04-06 10:47:31.657211+00,,,f,,,
41,a1000001-0000-0000-0000-000000000003,d5ac6269-d8cf-4821-ac8b-a6341e68987b,X-Ray,,Digital Radiography services,102,t,,2026-04-06 10:47:31.657211+00,2026-04-06 10:47:31.657211+00,,,f,,,
42,a1000001-0000-0000-0000-000000000004,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Ultrasound,,Ultrasonography services,103,t,,2026-04-06 10:47:31.657211+00,2026-04-06 10:47:31.657211+00,,,f,,,
43,a1000001-0000-0000-0000-000000000005,d5ac6269-d8cf-4821-ac8b-a6341e68987b,Endoscopy,,Endoscopy services,104,t,,2026-04-06 10:47:31.657211+00,2026-04-06 10:47:31.657211+00,,,f,,,
