_excel_row_number,id,service_id,clinic_id,code,name,name_en,name_km,unit,reference_range_text,reference_range_low,reference_range_high,specimen_type,method,display_order,is_active,is_deleted,deleted_at,deleted_by,created_at,updated_at,created_by,updated_by
2,90cc6881-218b-4584-bde0-2023dc00a142,533b31d7-0a32-461e-96b5-432560ed13f5,d5ac6269-d8cf-4821-ac8b-a6341e68987b,WBC,Bạch cầu,White Blood Cell,,x10^9/L,4.0 - 10.0,4.0,10.0,Whole Blood (EDTA),Automated Hematology Analyzer,1,t,f,,,2026-04-28 03:47:26.953172+00,2026-04-28 03:47:26.953172+00,,
3,bbbe21b2-b704-46dd-ad53-052e6996d9c7,4e7e1a3f-9190-4d7e-8949-3305585bcc49,d5ac6269-d8cf-4821-ac8b-a6341e68987b,WBC,Bạch cầu,White Blood Cell,,x10^9/L,4.0 - 10.0,4.0,10.0,Whole Blood (EDTA),Automated Hematology Analyzer,1,t,f,,,2026-04-28 03:47:26.953172+00,2026-04-28 03:47:26.953172+00,,
4,0b010d15-f76a-4e5a-92b3-b1b3c9f82248,0d5f916d-7b86-42a8-8108-f632c7078cff,d5ac6269-d8cf-4821-ac8b-a6341e68987b,WBC,Bạch cầu,White Blood Cell,,x10^9/L,4.0 - 10.0,4.0,10.0,Whole Blood (EDTA),Automated Hematology Analyzer,1,t,f,,,2026-04-28 03:47:26.953172+00,2026-04-28 03:47:26.953172+00,,
5,189251dd-86e1-47f4-8fda-f22c7a5a5f17,d0c2eb37-90c2-478f-91df-3428c6f735bc,d5ac6269-d8cf-4821-ac8b-a6341e68987b,WBC,Bạch cầu,White Blood Cell,,x10^9/L,4.0 - 10.0,4.0,10.0,Whole Blood (EDTA),Automated Hematology Analyzer,1,t,f,,,2026-04-28 03:47:26.953172+00,2026-04-28 03:47:26.953172+00,,
6,8f7969fe-979e-4a51-ad66-73a3afc60484,f0e8dbb1-c16a-4787-9832-737d23559cdd,d5ac6269-d8cf-4821-ac8b-a6341e68987b,WBC,Bạch cầu,White Blood Cell,,x10^9/L,4.0 - 10.0,4.0,10.0,Whole Blood (EDTA),Automated Hematology Analyzer,1,t,f,,,2026-04-28 03:47:26.953172+00,2026-04-28 03:47:26.953172+00,,
7,c4bacb79-fcc4-4c46-b192-27150767ae16,a37ea8f8-8474-45f5-a102-2abcdf5ab54e,d5ac6269-d8cf-4821-ac8b-a6341e68987b,WBC,Bạch cầu,White Blood Cell,,x10^9/L,4.0 - 10.0,4.0,10.0,Whole Blood (EDTA),Automated Hematology Analyzer,1,t,f,,,2026-04-28 03:47:26.953172+00,2026-04-28 03:47:26.953172+00,,
8,65a981fa-3ab2-40ad-a09c-82b43f62eb3f,cc0de87b-4624-4f68-b9ba-1bac6649d799,d5ac6269-d8cf-4821-ac8b-a6341e68987b,WBC,Bạch cầu,White Blood Cell,,x10^9/L,4.0 - 10.0,4.0,10.0,Whole Blood (EDTA),Automated Hematology Analyzer,1,t,f,,,2026-04-28 03:47:26.953172+00,2026-04-28 03:47:26.953172+00,,
9,d26ccdcb-5f5a-4a80-b765-06aebec2fb76,c7851582-f458-4fe7-9364-03f27fa13608,d5ac6269-d8cf-4821-ac8b-a6341e68987b,WBC,Bạch cầu,White Blood Cell,,x10^9/L,4.0 - 10.0,4.0,10.0,Whole Blood (EDTA),Automated Hematology Analyzer,1,t,f,,,2026-04-28 03:47:26.953172+00,2026-04-28 03:47:26.953172+00,,
10,bcfcf08d-c565-41e3-90e5-66decd2914c6,7a9d47bf-ad62-4385-873e-8a54fa24afbe,d5ac6269-d8cf-4821-ac8b-a6341e68987b,WBC,Bạch cầu,White Blood Cell,,x10^9/L,4.0 - 10.0,4.0,10.0,Whole Blood (EDTA),Automated Hematology Analyzer,1,t,f,,,2026-04-28 03:47:26.953172+00,2026-04-28 03:47:26.953172+00,,
11,042bd348-00f9-4030-8f22-e54180ed229b,89af7bcd-3a9e-4e81-a7d5-b944888b95cb,d5ac6269-d8cf-4821-ac8b-a6341e68987b,WBC,Bạch cầu,White Blood Cell,,x10^9/L,4.0 - 10.0,4.0,10.0,Whole Blood (EDTA),Automated Hematology Analyzer,1,t,f,,,2026-04-28 03:47:26.953172+00,2026-04-28 03:47:26.953172+00,,
12,5285cd8c-0b03-465f-a238-47f0bd4f4f75,533b31d7-0a32-461e-96b5-432560ed13f5,d5ac6269-d8cf-4821-ac8b-a6341e68987b,RBC,Hồng cầu,Red Blood Cell,,x10^12/L,4.2 - 5.9,4.2,5.9,Whole Blood (EDTA),Automated Hematology Analyzer,2,t,f,,,2026-04-28 03:47:26.953172+00,2026-04-28 03:47:26.953172+00,,
13,f300c375-e0f4-426f-94e2-89e286037c6c,4e7e1a3f-9190-4d7e-8949-3305585bcc49,d5ac6269-d8cf-4821-ac8b-a6341e68987b,RBC,Hồng cầu,Red Blood Cell,,x10^12/L,4.2 - 5.9,4.2,5.9,Whole Blood (EDTA),Automated Hematology Analyzer,2,t,f,,,2026-04-28 03:47:26.953172+00,2026-04-28 03:47:26.953172+00,,
