_excel_row_number,id,clinic_id,code,name,name_en,description,package_price_vnd,original_price_vnd,discount_percent,is_active,display_order,valid_days,created_at,updated_at,created_by,updated_by,is_deleted,deleted_at,deleted_by,name_km,currency_code
2,d8bcd04f-799b-4391-849a-af3175048c28,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0001,General Health Check Up,General Health Check Up,,0,0,0.00,t,1,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
3,a89649ec-9ae9-43da-86a5-3876753ef7e6,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0002,Check cholesterol levels,Check cholesterol levels,,0,0,0.00,t,2,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
4,a9766dd9-e721-4d8b-9d37-818df4df4005,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0003,Fasting Blood Glucose,Fasting Blood Glucose,,0,0,0.00,t,3,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
5,012ba862-f99a-45d9-8c89-85b50d6207f5,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0004,Prenatal care,Prenatal care,,0,0,0.00,t,4,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
6,891a6669-3dfa-4c9e-ba81-1289f743c0c6,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0005,Health check before marriage,Health check before marriage,,0,0,0.00,t,5,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
7,fd0691d7-13b0-4ff5-bad0-7097567fe1d4,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0006,Checking women's health during pregnancy,Checking women's health during pregnancy,,0,0,0.00,t,6,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
8,a35a0c86-6dba-4efb-83ba-51a84b832473,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0007,Check for the causes of male infertility,Check for the causes of male infertility,,0,0,0.00,t,7,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
9,7f63b849-ab75-422b-9e63-2f10e62de120,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0008,Check for causes of infertility in women,Check for causes of infertility in women,,0,0,0.00,t,8,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
10,abb42ebb-31d2-4b60-8241-33026dcb9b26,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0009,Check Liver Function,Check Liver Function,,0,0,0.00,t,9,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
11,0db20c7e-a107-4110-970f-4842c06517eb,d5ac6269-d8cf-4821-ac8b-a6341e68987b,PKG-0010,Check for hepatitis A Virus,Check for hepatitis A Virus,,0,0,0.00,t,10,365,2026-03-26 09:50:54.995167+00,2026-03-26 09:50:54.995167+00,,,f,,,,USD
