_excel_row_number,id,translation_key,language_code,value,created_at,updated_at,created_by,updated_by
2,5341e4bc-073b-4923-9d8e-b083423967ef,admin.appointments.afternoon,en,Afternoon,2026-01-30 07:00:46.777142+00,2026-01-30 07:00:46.777142+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
3,96caa30b-4563-4c00-966a-005195364402,admin.appointments.afternoon,vi,Buổi chiều,2026-01-30 07:00:47.185641+00,2026-01-30 07:00:47.185641+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
4,af8b416e-1fc8-421f-b04d-81c60d484e91,admin.appointments.afternoon,km,រសៀល,2026-01-30 07:00:47.192409+00,2026-01-30 07:00:47.192409+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
5,8a58179a-1776-443e-8c2f-8dc544681541,admin.appointments.available,en,Available,2026-01-30 07:01:31.625368+00,2026-01-30 07:01:31.625368+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
6,bbf07d41-085a-4782-a5b2-524b46cd3395,admin.appointments.available,vi,Trống,2026-01-30 07:01:31.621303+00,2026-01-30 07:01:31.621303+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
7,7f15b387-8a4f-4b80-988b-eef90c082133,admin.appointments.available,km,ទំនេរ,2026-01-30 07:01:31.642402+00,2026-01-30 07:01:31.642402+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
8,6c287657-ab16-4aee-8d28-8558d382124b,admin.appointments.bookAppointment,en,Book Appointment,2026-01-30 07:02:57.126345+00,2026-01-30 07:02:57.126345+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
9,6a7d9032-b815-487a-a2cf-5dffdc0b8108,admin.appointments.bookAppointment,km,ការណាត់,2026-01-30 07:02:57.126794+00,2026-01-30 07:02:57.126794+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
10,5a0d8634-91ed-4ab7-a073-88f6bd510f5a,admin.appointments.bookAppointment,vi,Đặt lịch hẹn,2026-01-30 07:02:57.126652+00,2026-01-30 07:02:57.126652+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
11,b20589e0-e3a5-4b6a-ba87-318eb2e7fb75,admin.appointments.clickToBook,en,Click to book,2026-01-30 07:06:19.047391+00,2026-01-30 07:06:19.047391+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
12,cd957fd9-e47e-4efe-85cb-8ee9b765c61d,admin.appointments.clickToBook,vi,Click để đặt lịch,2026-01-30 07:06:19.06951+00,2026-01-30 07:06:19.06951+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
13,0563fbd0-7b06-437b-9964-b9bb0b190bd8,admin.appointments.clickToBook,km,ចុចដើម្បីណាត់,2026-01-30 07:06:19.069725+00,2026-01-30 07:06:19.069725+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
14,ce88e1e4-5343-4fde-a82b-911eedb4cd19,admin.appointments.dailySchedule,km,ការវិភាគប្រចាំថ្ងៃ,2026-01-30 07:06:46.074244+00,2026-01-30 07:06:46.074244+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
15,a6fddc06-9385-4ec5-9c3d-22c63f8ae1b7,admin.appointments.dailySchedule,en,Daily Schedule,2026-01-30 07:06:46.086843+00,2026-01-30 07:06:46.086843+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
16,1a36124d-b0a3-4912-8d93-66bbf6fda869,admin.appointments.dailySchedule,vi,Lịch theo ngày,2026-01-30 07:06:46.110028+00,2026-01-30 07:06:46.110028+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
17,b66a550a-2a55-4f81-abfd-3c5332e68645,admin.appointments.doctor,en,Doctor,2026-01-30 07:12:39.871197+00,2026-01-30 07:12:39.871197+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
18,8d8b256e-ba75-49eb-a56f-7f83ca56d891,admin.appointments.doctor,vi,Bác sĩ,2026-01-30 07:12:39.900466+00,2026-01-30 07:12:39.900466+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
19,2027af29-3f47-415a-aec5-2725217d6a50,admin.appointments.doctor,km,វេជ្ជបណ្ឌិត,2026-01-30 07:12:39.911593+00,2026-01-30 07:12:39.911593+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
20,1465799b-5851-43ef-aef9-a4e04f660bca,admin.appointments.doctorWeekView,en,7-Day Doctor Schedule,2026-01-30 07:14:07.640648+00,2026-01-30 07:14:07.640648+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
21,99e0dfa5-d994-4f73-9093-e176b369bfde,admin.appointments.doctorWeekView,vi,Lịch 7 ngày bác sĩ,2026-01-30 07:14:07.623958+00,2026-01-30 07:14:07.623958+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
22,7aef46da-adda-4663-b26e-6252cc26df5a,admin.appointments.doctorWeekView,km,កាលវិភាគវេជ្ជបណ្ឌិតរយៈពេល ៧ ថ្ងៃ,2026-01-30 07:14:07.68897+00,2026-01-30 07:14:07.68897+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
23,5c25ddfb-91ce-49b0-b525-1915d6f73c33,admin.appointments.generalDoctor,km,វេជ្ជបណ្ឌិតទូទៅ,2026-01-30 07:15:04.239348+00,2026-01-30 07:15:04.239348+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
24,0342a88d-c1bc-4cfd-a755-e946b2222baf,admin.appointments.generalDoctor,vi,Bác sĩ đa khoa,2026-01-30 07:15:04.236167+00,2026-01-30 07:15:04.236167+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
25,d530e3d1-b90d-43f4-a59f-d69ff2e632ad,admin.appointments.generalDoctor,en,General Doctor,2026-01-30 07:15:04.25514+00,2026-01-30 07:15:04.25514+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
26,99e390ad-478c-41a1-a061-51bed403fb4e,admin.appointments.morning,en,Morning,2026-01-30 07:15:46.791784+00,2026-01-30 07:15:46.791784+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
27,60c19a08-6436-40e4-8a7d-afd8104ece5c,admin.appointments.morning,vi,Buổi sáng,2026-01-30 07:15:46.795173+00,2026-01-30 07:15:46.795173+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
28,1e144e6d-5c58-4f26-bdb0-aa286f15a2f0,admin.appointments.morning,km,ពេលព្រឹក,2026-01-30 07:15:46.802147+00,2026-01-30 07:15:46.802147+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
29,8b7e00eb-9961-4ffd-bb53-c8f68b8ff088,admin.clinic.general.timeDate.workingHours,vi,Giờ làm việc,2026-01-30 07:16:25.396448+00,2026-01-30 07:16:25.396448+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
30,ab80ee11-25a4-480a-9495-8a2bc75e2cc4,admin.clinic.general.timeDate.workingHours,en,Working Hours,2026-01-30 07:16:25.421642+00,2026-01-30 07:16:25.421642+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
31,a56dfe75-2168-49ca-a205-c9e7400ffd8f,admin.clinic.general.timeDate.workingHours,km,ម៉ោងធ្វើការ,2026-01-30 07:16:25.420504+00,2026-01-30 07:16:25.420504+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
32,8503bce0-9e85-45f9-9536-a690a5ffc5ee,admin.clinic.general.updateError,km,មិនអាចធ្វើបច្ចុប្បន្នភាពការកំណត់បានទេ,2026-01-30 07:15:41.203004+00,2026-01-30 07:16:44.889939+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
33,54a4b294-a029-4094-8b75-62be1ccca517,admin.clinic.general.updateError,en,Unable to update settings.,2026-01-30 07:15:41.193659+00,2026-01-30 07:16:44.89027+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
34,795b7372-0510-48ea-a74c-2bf4da4a49c9,admin.clinic.general.updateError,vi,Không thể cập nhật cài đặt.,2026-01-30 07:15:41.194096+00,2026-01-30 07:16:44.895412+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
35,b68673c0-9e29-4ccb-bfa9-30094ddecef6,admin.clinic.general.timeDate.title,km,ពេលវេលា និងកាលបរិច្ឆេទ,2026-01-30 07:17:19.423564+00,2026-01-30 07:17:19.423564+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
36,e8707cdb-a687-446f-bad1-0d3946c13391,admin.clinic.general.timeDate.title,vi,Thời gian & Ngày tháng,2026-01-30 07:17:19.426074+00,2026-01-30 07:17:19.426074+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
37,c2676e97-5cd7-4c77-910b-db462578482d,admin.clinic.general.timeDate.title,en,Time & Date,2026-01-30 07:17:19.429764+00,2026-01-30 07:17:19.429764+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
38,1c232cf2-bd5b-4592-a840-2a824f6c39cd,admin.appointments.newAppointment,vi,Đặt lịch mới,2026-01-30 07:17:54.380251+00,2026-01-30 07:17:54.380251+00,,1c2593a7-1aad-457a-b536-9d568f49dd96
