_excel_row_number,id,user_id,clinic_id,role,created_at,updated_at,created_by,updated_by,is_deleted,deleted_at,deleted_by
2,4b934393-ec16-4e4c-a3f9-d7bcc63a4c33,9fba0692-ba76-431b-bd93-9d3f44612e62,e137130e-ce05-403d-aa63-d4d63e03699d,doctor,2026-03-18 03:48:37.568993+00,2026-03-18 03:48:37.568993+00,,,f,,
3,c56f0e4d-a14c-4ab7-896c-cf3f1aab6a16,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c4,d5ac6269-d8cf-4821-ac8b-a6341e68987b,doctor,2026-03-16 02:08:40.544507+00,2026-03-16 02:08:40.544507+00,,,f,,
4,5147841a-e118-41f1-ba1a-02b73f65184e,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c5,d5ac6269-d8cf-4821-ac8b-a6341e68987b,nurse,2026-03-16 02:08:40.544507+00,2026-03-16 02:08:40.544507+00,,,f,,
5,27d36bb8-1310-44aa-8b44-e4a8b256abab,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c6,d5ac6269-d8cf-4821-ac8b-a6341e68987b,receptionist,2026-03-16 02:08:40.544507+00,2026-03-16 02:08:40.544507+00,,,f,,
6,899824a9-4dea-44de-9fbe-32b3ffbceef6,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c7,d5ac6269-d8cf-4821-ac8b-a6341e68987b,pharmacist,2026-03-16 02:08:40.544507+00,2026-03-16 02:08:40.544507+00,,,f,,
7,ebc3cafa-0bfa-4ad3-a58c-051ae040b767,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c8,d5ac6269-d8cf-4821-ac8b-a6341e68987b,accountant,2026-03-16 02:08:40.544507+00,2026-03-16 02:08:40.544507+00,,,f,,
8,452d539a-21c9-44e4-baa4-5f0b84997bd7,d1a2b3c4-d1a2-b3c4-d1a2-b3c4d1a2b3c9,d5ac6269-d8cf-4821-ac8b-a6341e68987b,clinic_admin,2026-03-16 02:08:40.544507+00,2026-03-16 02:08:40.544507+00,,,f,,
9,a143f3f6-a209-462d-ad15-de2e3d862dbe,5a6451c7-9f56-4a40-9f7a-432cb0b9a105,d5ac6269-d8cf-4821-ac8b-a6341e68987b,doctor,2026-04-06 09:49:02.452462+00,2026-04-06 09:49:02.452462+00,,,f,,
10,69129611-3127-4451-bb93-ad6de7d88e4a,9ef2a593-4ea4-4f8d-bddf-9d70e4a32a6c,d5ac6269-d8cf-4821-ac8b-a6341e68987b,doctor,2026-04-06 09:49:03.089689+00,2026-04-06 09:49:03.089689+00,,,f,,
11,305b477d-7c5f-4b6a-adea-2017b60f8707,e965c822-85f2-489d-8906-a4bc7ee8f51f,d5ac6269-d8cf-4821-ac8b-a6341e68987b,clinic_admin,2026-01-27 07:15:56.561706+00,2026-01-27 07:15:56.561706+00,1c2593a7-1aad-457a-b536-9d568f49dd96,,f,,
12,6f18a925-655a-4bf7-9f29-9fe8d87d554e,3105f7cb-1e03-4634-8f1b-c6356f382784,d5ac6269-d8cf-4821-ac8b-a6341e68987b,lab_technician,2026-02-05 13:06:04.287658+00,2026-02-05 13:06:04.287658+00,,,f,,
13,e6eb88ef-cb1e-4cae-85ad-eeb299655a32,6b9bdb5b-a56a-496c-90d9-3330f5a44120,e137130e-ce05-403d-aa63-d4d63e03699d,clinic_admin,2026-03-02 09:37:47.707637+00,2026-03-02 09:37:47.707637+00,,,f,,
